# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Jul  8 18:53:06 CEST 2020
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zin   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 6.00000 3.5819621086 2.7648386955    3.579  1.847  3.7979  3.289    0 0.153 0.719 0.625 0.132 -0.169 -0.431 -0.757 -1.004 -1.034
0.0152 6.00000 3.6000001431 2.7650437355    3.598  1.869  3.8028  3.289    0 0.098 0.628 0.543 0.071 -0.219 -0.472 -0.787 -1.023 -1.052
0.0152 6.00000 3.6175374985 2.7652406693    3.615  1.890  3.8079  3.290    0 0.044 0.539 0.461 0.011 -0.268 -0.512 -0.814 -1.040 -1.067
0.0152 6.00000 3.6456117630 2.7655513287    3.643  1.926  3.8178  3.297    0 -0.044 0.393 0.321 -0.089 -0.346 -0.572 -0.851 -1.056 -1.081
0.0152 6.00000 3.6702587605 2.7658193111    3.668  1.958  3.8278  3.308    0 -0.124 0.266 0.195 -0.179 -0.415 -0.624 -0.879 -1.063 -1.086
0.0152 6.00000 3.6931107044 2.7660641670    3.691  1.988  3.8377  3.320    0 -0.200 0.152 0.077 -0.263 -0.479 -0.669 -0.902 -1.066 -1.088
0.0152 6.00000 3.7151057720 2.7662963867    3.713  2.017  3.8476  3.333    0 -0.274 0.044 -0.038 -0.345 -0.540 -0.711 -0.922 -1.067 -1.087
0.0152 6.00000 3.7364077568 2.7665183544    3.734  2.047  3.8575  3.346    0 -0.347 -0.059 -0.149 -0.424 -0.598 -0.750 -0.939 -1.066 -1.085
0.0152 6.00000 3.7571022511 2.7667312622    3.755  2.075  3.8675  3.359    0 -0.418 -0.157 -0.256 -0.500 -0.652 -0.786 -0.954 -1.063 -1.081
0.0152 6.00000 3.7772374153 2.7669355869    3.775  2.104  3.8775  3.373    0 -0.489 -0.253 -0.361 -0.572 -0.703 -0.819 -0.967 -1.059 -1.075
0.0152 6.00000 3.7968604565 2.7671322823    3.795  2.132  3.8874  3.387    0 -0.559 -0.346 -0.464 -0.641 -0.751 -0.848 -0.977 -1.054 -1.069
0.0152 6.00000 3.8000001907 2.7671635151    3.798  2.136  3.8891  3.390    0 -0.571 -0.361 -0.480 -0.652 -0.758 -0.853 -0.979 -1.053 -1.067
0.0152 6.00000 3.8170437813 2.7673320770    3.815  2.161  3.8981  3.403    0 -0.633 -0.444 -0.566 -0.707 -0.796 -0.876 -0.985 -1.047 -1.061
0.0152 6.00000 3.8350877762 2.7675087452    3.834  2.188  3.9080  3.418    0 -0.699 -0.532 -0.653 -0.764 -0.835 -0.899 -0.991 -1.041 -1.052
0.0152 6.00000 3.8527340889 2.7676796913    3.852  2.214  3.9178  3.433    0 -0.765 -0.620 -0.731 -0.815 -0.870 -0.920 -0.995 -1.033 -1.044
0.0152 6.00000 3.8700215816 2.7678451538    3.869  2.240  3.9276  3.448    0 -0.829 -0.706 -0.801 -0.862 -0.902 -0.939 -0.997 -1.026 -1.034
0.0152 6.00000 3.8869783878 2.7680058479    3.886  2.265  3.9375  3.465    0 -0.892 -0.789 -0.862 -0.901 -0.929 -0.955 -0.997 -1.017 -1.023
0.0152 6.00000 3.9036276340 2.7681622505    3.903  2.290  3.9474  3.481    0 -0.955 -0.867 -0.914 -0.933 -0.951 -0.967 -0.995 -1.008 -1.012
0.0152 6.00000 3.9199926853 2.7683141232    3.920  2.314  3.9573  3.498    0 -1.016 -0.939 -0.959 -0.960 -0.969 -0.977 -0.990 -0.997 -0.998
0.0152 6.00000 3.9414050579 2.7685108185    3.941  2.346  3.9705  3.521    0 -1.096 -1.028 -1.008 -0.988 -0.987 -0.985 -0.981 -0.981 -0.978
0.0152 6.00000 3.9623889923 2.7687013149    3.963  2.377  3.9837  3.546    0 -1.174 -1.107 -1.046 -1.010 -1.001 -0.990 -0.969 -0.963 -0.956
0.0152 6.00000 3.9829938412 2.7688858509    3.983  2.408  3.9970  3.571    0 -1.249 -1.180 -1.077 -1.026 -1.011 -0.992 -0.955 -0.943 -0.932
0.0152 6.00000 4.0000000000 2.7690365314    4.001  2.432  4.0082  3.593    0 -1.311 -1.236 -1.097 -1.035 -1.016 -0.991 -0.941 -0.925 -0.911
0.0152 6.00000 4.0138430595 2.7691581249    4.014  2.452  4.0175  3.611    0 -1.361 -1.279 -1.110 -1.041 -1.018 -0.989 -0.928 -0.909 -0.892
0.0152 6.00000 4.0331192017 2.7693257332    4.033  2.480  4.0307  3.639    0 -1.430 -1.336 -1.124 -1.046 -1.019 -0.984 -0.908 -0.884 -0.864
0.0152 6.00000 4.0522589684 2.7694902420    4.052  2.506  4.0439  3.667    0 -1.496 -1.387 -1.132 -1.046 -1.016 -0.975 -0.885 -0.857 -0.833
0.0152 6.00000 4.0713129044 2.7696523666    4.071  2.532  4.0572  3.696    0 -1.560 -1.432 -1.136 -1.043 -1.009 -0.963 -0.859 -0.828 -0.801
0.0152 6.00000 4.0903415680 2.7698123455    4.090  2.557  4.0705  3.727    0 -1.622 -1.473 -1.136 -1.035 -0.999 -0.948 -0.831 -0.795 -0.766
0.0152 6.00000 4.1094188690 2.7699711323    4.108  2.581  4.0839  3.758    0 -1.682 -1.507 -1.131 -1.024 -0.984 -0.929 -0.799 -0.760 -0.728
0.0152 6.00000 4.1286253929 2.7701292038    4.127  2.604  4.0973  3.791    0 -1.739 -1.534 -1.121 -1.008 -0.965 -0.905 -0.763 -0.721 -0.686
0.0152 6.00000 4.1480731964 2.7702875137    4.146  2.625  4.1108  3.826    0 -1.793 -1.555 -1.107 -0.987 -0.941 -0.877 -0.724 -0.678 -0.641
0.0152 6.00000 4.1679525375 2.7704474926    4.166  2.645  4.1242  3.862    0 -1.843 -1.567 -1.087 -0.961 -0.912 -0.843 -0.679 -0.630 -0.591
0.0152 6.00000 4.1886453629 2.7706122398    4.187  2.663  4.1376  3.899    0 -1.887 -1.573 -1.061 -0.929 -0.876 -0.803 -0.629 -0.577 -0.535
0.0152 6.00000 4.1999998093 2.7707016468    4.198  2.671  4.1446  3.920    0 -1.907 -1.571 -1.044 -0.909 -0.855 -0.779 -0.600 -0.547 -0.503
0.0152 6.00000 4.2058291435 2.7707474232    4.204  2.675  4.1482  3.931    0 -1.917 -1.571 -1.035 -0.898 -0.843 -0.767 -0.585 -0.530 -0.487
0.0152 6.00000 4.2168650627 2.7708337307    4.215  2.681  4.1545  3.952    0 -1.932 -1.564 -1.015 -0.876 -0.819 -0.741 -0.554 -0.498 -0.454
0.0152 6.00000 4.2288045883 2.7709264755    4.227  2.681  4.1595  3.973    0 -1.932 -1.547 -0.988 -0.846 -0.788 -0.708 -0.518 -0.461 -0.415
